Downloaded from wid.world on 09-04-2022 at 21:19:20
Percentile;Year;"anweal_992_i_BR
Market-value national wealth
Total population | average income or wealth | adults | individual | Euro € | ppp | constant (2021)
Brazil"
pall;1995;43204.582
pall;1996;43771.0865
pall;1997;44686.3249
pall;1998;44141.4982
pall;1999;43289.5961
pall;2000;44318.4108
pall;2001;44813.4458
pall;2002;43880.5962
pall;2003;43060.2982
pall;2004;45342.2624
pall;2005;45967.7484
pall;2006;46945.9389
pall;2007;50568.244
pall;2008;53502.7514
pall;2009;56269.2479
pall;2010;60948.8339
pall;2011;64667.4243
pall;2012;66876.7022
pall;2013;68921.6515
pall;2014;69052.5828
pall;2015;65594.6063
pall;2016;60945.4717
pall;2017;58998.0565
pall;2018;57082.1172
pall;2019;57680.7382
pall;2020;54927.338
