Downloaded from wid.world on 09-04-2022 at 21:26:28
Year;"anninc_pall_992_i_BR
Brazil
National income
Total population | average income or wealth | adults | individual |  | ppp | constant (2021)
"
1995;14164.9821
1996;14094.025
1997;14158.9303
1998;13785.2845
1999;13344.556
2000;13674.2058
2001;13485.6378
2002;13533.1881
2003;13294.7964
2004;13799.6296
2005;13897.2598
2006;14126.7498
2007;14723.1293
2008;15199.4965
2009;14826.9714
2010;15588.0637
2011;15988.0623
2012;16099.9095
2013;16512.7162
2014;16202.9831
2015;15306.9889
2016;14539.3644
2017;14577.2125
2018;14445.0003
2019;14386.5311
2020;13538.8557
